,Titles,Total sales in million
598,Bratz: Forever Diamondz,1.48
599,Drawn To Life: SpongeBob SquarePants Edition,1.48
600,LEGO Battles: Ninjago,1.48
601,Imagine: Master Chef,1.47
602,Super Scribblenauts Read the review,1.47
603,Wall-E,1.46
604,My Word Coach,1.44
605,Disney Princess: Magical Jewels,1.44
606,Hello Kitty Party,1.41
607,Bakugan: Battle Brawlers,1.38
608,Gardening Mama Read the review,1.36
609,Grand Theft Auto: Chinatown Wars Read the review,1.33
610,Petz Wild Animals: Dolphinz,1.32
611,LEGO Battles,1.29
612,Imagine: Wedding Designer,1.28
613,Kung Fu Panda,1.26
614,Ratatouille,1.25
615,Cars 2,1.25
616,Transformers: Autobots / Decepticons,1.24
617,LEGO Indiana Jones 2: The Adventure Continues,1.19
618,Inazuma Eleven 2: Kyoui no Shinryokusha - Fire / Blizzard,1.18
619,High School Musical 2: Work This Out!,1.15
620,Plants vs. Zombies Read the review,1.11
621,LEGO Star Wars III: The Clone Wars,1.1
622,Petz Dogz 2,1.1
623,Imagine: Babysitters,1.09
624,LEGO Star Wars II: The Original Trilogy,1.07
625,Imagine: Fashion Designer New York,1.07
626,MySims Agents,1.07
627,Spore Creatures,1.07
628,Call of Duty 4: Modern Warfare,1.05
629,Dora the Explorer: Dora Saves the Mermaids,1.05
630,Imagine: Animal Doctor,1.05
631,Sonic & SEGA All-Stars Racing,1.05
632,ZhuZhu Pets,1.04
633,Disney Fairies: Tinker Bell and the Lost Treasure,1.03
634,Junior Brain Trainer,1.03
635,Pokémon Conquest Read the review,1.02
636,Petz: Catz 2,1.02
637,Apollo Justice: Ace Attorney Read the review,0.99
638,Puzzler Collection,0.99
639,Littlest Pet Shop: Winter,0.98
640,Zoo Tycoon DS,0.98
641,Disney Tangled Read the review,0.98
642,Cars,0.97
643,My Weight Loss Coach,0.96
644,Mega Man Star Force Dragon / Leo / Pegasus,0.95
645,Ben 10: Alien Force,0.95
646,The Sims 2,0.94
647,Kingdom Hearts Re:coded Read the review,0.93
648,Monster High: Ghoul Spirit,0.93
649,Build-A-Bear Workshop,0.93
650,Phoenix Wright: Ace Attorney Read the review,0.93
651,LEGO Pirates of the Caribbean: The Video Game,0.91
652,TouchMaster 2,0.89
653,Call of Duty: World at War,0.89
654,Fossil Fighters,0.89
655,Star Wars: The Force Unleashed,0.88
656,Sonic Chronicles: The Dark Brotherhood,0.88
657,Peppa Pig: The Game,0.87
658,Wizards of Waverly Place,0.87
659,FIFA Soccer 08,0.85
660,The Legendary Starfy Read the review,0.85
661,Petz Dogz Fashion,0.84
662,Harry Potter and the Order of the Phoenix,0.84
663,Scooby-Doo! First Frights,0.83
664,I Spy: Fun House,0.82
665,Imagine: Rock Star,0.81
666,Disney's The Little Mermaid: Ariel's Undersea Adventure,0.81
667,Battle of Giants: Dinosaurs,0.81
668,Golden Sun: Dark Dawn,0.81
669,Rayman Raving Rabbids 2,0.8
670,Personal Trainer: Walking,0.78
671,Star Wars The Clone Wars: Jedi Alliance,0.78
672,Drawn to Life,0.78
673,Puzzler World,0.77
674,Tetris Party Deluxe,0.77
675,Pokémon Dash,0.77
676,My Baby Girl,0.76
677,Spectrobes,0.75
678,Jump Ultimate Stars,0.74
679,Sega Superstars Tennis,0.74
680,Madagascar: Escape 2 Africa,0.74
681,iCarly,0.73
682,My Little Pony: Pinkie Pie's Party,0.73
683,Harvest Moon DS: Island of Happiness,0.72
684,Imagine: Interior Designer,0.72
685,Rabbids Go Home,0.72
686,Kirby: Canvas Curse,0.72
687,The Sims 2: Castaway,0.72
688,LEGO Batman 2: DC Super Heroes,0.71
689,Ace Attorney Investigations: Miles Edgeworth Read the review,0.7
690,FIFA Soccer 11,0.7
691,Hannah Montana: The Movie,0.7
692,World of Zoo,0.69
693,The Sims 2: Apartment Pets,0.69
694,Lalaloopsy,0.68
695,LEGO Harry Potter: Years 5-7,0.68
696,Cars: Mater-National Championship,0.68
697,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,0.67
698,The Sims 3,0.67
699,Fossil Fighters: Champions,0.67
700,100 Classic Books Read the review,0.67
701,Final Fantasy Crystal Chronicles: Ring of Fates,0.66
702,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,0.66
703,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,0.66
704,Hidden Objects: Mystery Stories,0.66
705,Peppa Pig: Fun and Games,0.66
706,Club Penguin: Elite Penguin Force - Herbert's Revenge,0.66
707,Wario: Master of Disguise,0.65
708,Crafting Mama,0.65
709,Drawn to Life: The Next Chapter,0.65
710,Paws & Claws: Pet Vet,0.64
711,Up,0.64
712,The Princess and the Frog,0.62
713,Bolt,0.62
714,Phoenix Wright: Ace Attorney - Trials and Tribulations,0.62
715,Battle of Giants: Dragons,0.62
716,Harry Potter and the Half-Blood Prince,0.62
717,Dragon Quest Monsters: Joker 2 Professional,0.62
718,Advance Wars: Days of Ruin Read the review,0.61
719,Ganbaru Watashi no Kakei Diary,0.61
720,Petz: Dogz Pack,0.61
721,MySims Racing,0.61
722,Wipeout: The Game,0.61
723,The Golden Compass,0.6
724,Littlest Pet Shop: Garden,0.6
725,SimCity DS,0.6
726,Littlest Pet Shop: Jungle,0.6
727,Pokémon Trozei!,0.59
728,Spelling Challenges and more!,0.59
729,Call of Duty: Black Ops,0.59
730,WarioWare D.I.Y.,0.59
731,Asphalt: Urban GT,0.59
732,FIFA Soccer 10,0.58
733,Final Fantasy: The 4 Heroes of Light Read the review,0.58
734,My Secret World by Imagine,0.58
735,Harvest Moon: The Tale of Two Towns,0.57
736,Mega Man Star Force 2: Zerker x Ninja / Saurian,0.57
737,Harvest Moon: Sunshine Islands,0.57
738,SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,0.57
739,Bratz 4 Real,0.57
740,Petz Wild Animals: Tigerz,0.56
741,Dogz,0.56
742,DS Bimoji Training,0.56
743,Catz,0.55
744,Jump Super Stars,0.55
745,Purr Pals,0.55
746,ZhuZhu Pets 2: Featuring The Wild Bunch,0.55
747,Donkey Kong Jungle Climber,0.55
748,Petz Catz Clan,0.55
749,Viva Pinata: Pocket Paradise,0.55
750,Barbie Horse Adventures: Riding Camp,0.55
751,CrossworDS,0.55
752,Hotel Dusk: Room 215,0.54
753,Phineas and Ferb: Across the 2nd Dimension,0.54
754,Let's Draw!,0.54
755,Petz Nursery,0.54
756,50 Classic Games,0.54
757,Rune Factory: A Fantasy Harvest Moon Read the review,0.53
758,G-Force,0.53
759,Hello Kitty: Big City Dreams,0.53
760,Phoenix Wright: Ace Attorney - Justice for All,0.53
761,Inazuma Eleven,0.53
762,Magician's Quest: Mysterious Times,0.53
763,How to Train Your Dragon,0.53
764,Jewel Master Egypt,0.53
765,WWE SmackDown vs. Raw 2010,0.53
766,Are You Smarter than a 5th Grader?,0.53
767,Star Fox Command,0.53
768,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,0.52
769,Mystery Dungeon: Shiren the Wanderer,0.52
770,Frozen: Olaf's Quest,0.52
771,Guinness World Records: The Videogame,0.52
772,Rune Factory 2: A Fantasy Harvest Moon,0.52
773,Classic Word Games,0.52
774,Spectrobes: Beyond the Portals,0.52
775,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,0.52
776,SimAnimals,0.52
777,100 All-Time Favorites,0.51
778,Jam With the Band,0.51
779,Iron Man,0.51
780,Monsters vs. Aliens,0.51
781,Petz: Hamsterz Life 2,0.51
782,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,0.51
783,Rooms: The Main Building,0.5
784,Paws & Claws: Dogs & Cats Best Friends,0.5
785,Picross DS,0.5
786,Picross 3D Read the review,0.5
787,Bakugan Battle Brawlers: Defenders of the Core,0.5
788,Spider-Man 2,0.5
789,Dragon Ball Z: Supersonic Warriors 2,0.49
790,The Price is Right,0.49
791,Star Wars Battlefront: Elite Squadron,0.49
792,SpongeBob SquarePants: Creature from the Krusty Krab,0.49
793,FIFA Soccer 09,0.49
794,Crash of the Titans,0.48
795,Scrabble 2007 Edition,0.48
796,Rayman Raving Rabbids: TV Party,0.48
797,Alice in Wonderland,0.48
798,Go Diego Go! Great Dinosaur Rescue,0.48
799,Children of Mana,0.48
800,Cars: Race-O-Rama,0.47
801,Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,0.47
802,Jake Power: Fireman,0.47
803,Hamsterz Life,0.47
804,Final Fantasy Crystal Chronicles: Echoes of Time Read the review,0.47
805,Spider-Man: Friend or Foe,0.47
806,Spider-Man 3,0.47
807,Imagine: Figure Skater (US sales),0.46
808,Nickelodeon Team Umizoomi,0.46
809,Crayola: Treasure Adventures,0.46
810,The Legend of Spyro: Dawn of the Dragon,0.46
811,Mega Man Star Force 3: Black Ace / Red Joker,0.46
812,Dora the Explorer: Dora Saves the Snow Princess,0.46
813,Harvest Moon DS (US sales),0.45
814,Bleach: The Blade of Fate,0.45
815,Band Hero,0.45
816,American Girl: Kit Mystery Challenge!,0.45
817,Despicable Me: The Game - Minion Mayhem,0.45
818,The New York Times Crosswords,0.45
819,Brain Challenge,0.45
820,My Fashion Studio,0.45
821,LEGO Rock Band,0.45
822,Bee Movie Game,0.45
823,Sid Meier's Civilization Revolution Read the review,0.45
824,Discovery Kids: Kitten Corner,0.45
825,Transformers: Dark of the Moon - Autobots/Decepticons,0.44
826,Transformers: Revenge of the Fallen -- Autobots,0.44
827,The Urbz: Sims in the City (all regions sales),0.44
828,Puppy Luv: Spa and Resort,0.44
829,Wheel of Fortune,0.44
830,Tongari Boushi to Mahou no Otana,0.44
831,Master of Illusion,0.43
832,My Spanish Coach,0.43
833,Barbie: Groom and Glam Pups,0.43
834,OkamiDen Read the review,0.43
835,TouchMaster 3,0.43
836,Dora the Explorer: Dora Puppy,0.43
837,"Barbie: Jet, Set & Style!",0.43
838,Castlevania: Dawn of Sorrow,0.43
839,Deer Drive,0.43
840,Petz Bunnyz,0.43
841,Petz: Horsez 2,0.43
842,Naruto: Ninja Council 3,0.42
843,Ben 10 Alien Force: Vilgax Attacks,0.42
844,Horsez,0.42
845,SpongeBob's Truth or Square (US sales),0.42
846,Crash: Mind Over Mutant,0.42
847,Solitaire Overload,0.42
848,The Smurfs,0.41
849,Call of Duty: Modern Warfare: Mobilized,0.41
850,Marvel Super Hero Squad,0.41
851,James Patterson Women's Murder Club: Games of Passion,0.41
852,Harry Potter and the Deathly Hallows - Part 1,0.41
853,Harvest Moon: Grand Bazaar,0.41
854,Rune Factory 3: A Fantasy Harvest Moon,0.41
855,Moshi Monsters: Moshlings Theme Park,0.4
856,Style Lab: Makeover,0.4
857,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009 Read the review,0.4
858,James Cameron's Avatar: The Game,0.4
859,My Virtual Tutor: Reading Adventure First to Second Grade,0.4
860,Ghostbusters: The Video Game,0.4
861,Star Wars The Clone Wars: Republic Heroes,0.4
862,Castlevania: Portrait of Ruin,0.4
863,Naruto: Path of the Ninja,0.4
864,Sherlock Holmes: The Mystery of the Mummy,0.4
865,Planet 51,0.39
866,Ener-G: Gym Rockets,0.39
867,Dancing with the Stars: We Dance!,0.39
868,Are You Smarter than a 5th Grader? Make the Grade,0.39
869,Monster Jam: Urban Assault,0.39
870,Advance Wars: Dual Strike,0.39
871,SpongeBob vs The Big One: Beach Party Cook Off,0.39
872,Diner Dash: Sizzle & Serve,0.38
873,Yoshi Touch & Go,0.38
874,Junior Classic Games,0.38
875,Jam Sessions: Sing and Play Guitar (US sales),0.38
876,Lego Marvel Super Heroes: Universe in Peril,0.38
877,Ghost Trick: Phantom Detective Read the review,0.38
878,Ice Age: Dawn of the Dinosaurs,0.38
879,Tamagotchi Connection: Corner Shop 3,0.38
880,Need for Speed: Nitro,0.38
881,Scooby-Doo! and the Spooky Swamp,0.38
882,Petz Rescue: Wildlife Vet,0.38
883,Paws & Claws: Pampered Pets,0.38
884,Monster Jam: Path of Destruction,0.38
885,Puppy Palace,0.38
886,Petz Rescue: Ocean Patrol,0.37
887,Guitar Hero On Tour: Modern Hits Read the review,0.37
888,Imagine: Salon Stylist,0.37
889,Kotoba no Puzzle: Mojipittan DS,0.37
890,Hell's Kitchen: The Game,0.37
891,The Legend of Spyro: A New Beginning,0.37
892,The Legend of Spyro: The Eternal Night,0.37
893,Naruto Shippuden: Ninja Destiny 2,0.37
894,Dreamworks Madagascar Kartz,0.37
895,Castlevania: Order of Ecclesia Read the review,0.37
896,"999: Nine Hours, Nine Persons, Nine Doors",0.37
897,One Piece: Gigant Battle!,0.36
898,My Horse & Me,0.36
899,ATV/Monster Truck Mayhem,0.36
900,Digging for Dinosaurs,0.36
901,Wonder Pets! Save the Animals!,0.36
902,Trauma Center: Under the Knife,0.36
903,Worms: Open Warfare 2,0.35
904,CSI: Deadly Intent - The Hidden Cases,0.35
905,Hello Kitty Daily,0.35
906,Pirates of the Caribbean: At World's End,0.34
907,Mini Ninjas,0.34
908,Avatar: The Last Airbender - The Burning Earth,0.34
909,SimCity Creator,0.34
910,Speed Racer: The Videogame,0.34
911,SpongeBob SquarePants: The Yellow Avenger,0.34
912,Momotarou Dentetsu DS: Tokyo & Japan,0.34
913,Smart Girl's Party Game,0.34
914,My Baby Boy,0.34
915,Iron Man 2,0.34
916,Imagine: Movie Star,0.34
917,Puzzle Quest: Challenge of the Warlords,0.34
918,Bejeweled 3,0.34
919,Night at the Museum: Battle of the Smithsonian,0.33
920,Transformers: Revenge of the Fallen -- Decepticons,0.33
921,Mega Man ZX Advent,0.33
922,Avatar: The Last Airbender,0.33
923,BookWorm,0.33
924,Etrian Odyssey,0.33
925,Planet Puzzle League,0.33
926,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,0.33
927,Disney Fairies: Tinker Bell and the Great Fairy Rescue,0.33
928,EA Playground,0.33
929,Discovery Kids: Puppy Playtime,0.33
930,Style Lab: Jewelry Design,0.33
931,Ben 10 Ultimate Alien: Cosmic Destruction,0.32
932,Bratz: Girlz Really Rock,0.32
933,Momotarou Dentetsu 20-Shuunen,0.32
934,Pony Friends 2,0.32
935,My Baby: First Steps,0.32
936,Power Rangers Samurai,0.32
937,Madden NFL 09,0.32
938,Derby Stallion DS,0.32
939,The Biggest Loser,0.32
940,Goosebumps HorrorLand,0.32
941,Littlest Pet Shop: City Friends,0.32
942,Quiz Magic Academy DS,0.32
943,Shin Megami Tensei: Devil Survivor 2,0.31
944,1001 Touch Games,0.31
945,Peppa Pig: Theme Park Fun,0.31
946,Digimon World: Dawn / Dusk,0.31
947,7 Wonders II,0.31
948,Foto Frenzy: Spot The Diffrence,0.31
949,Dr. Seuss: How the Grinch Stole Christmas,0.31
950,Barbie as The Island Princess,0.31
951,Happy Feet,0.31
952,MySims SkyHeroes,0.31
953,Mega Man Zero Collection,0.31
954,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,0.31
955,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,0.31
956,Math Play,0.31
957,Star Wars Episode III: Revenge of the Sith,0.31
958,Shrek: Forever After,0.31
959,Contra 4,0.3
960,Madagascar,0.3
961,Naruto: Ninja Destiny (US sales),0.3
962,Super Robot Taisen W,0.3
963,Looney Tunes: Duck Amuck,0.3
964,Jonas,0.3
965,Fossil Fighters (JP sales),0.3
966,Imagine: Family Doctor,0.3
967,Nounai Aeshe: IQ Suppli DS,0.3
968,Squinkies,0.3
969,Power Pro Kun Pocket 10,0.3
970,The Suite Life of Zack & Cody: Circle of Spies,0.3
971,MySims Party,0.3
972,Shrek the Third,0.3
973,Radiant Historia Read the review,0.3
974,Batman: The Brave and the Bold the Videogame Read the review,0.3
975,Phineas and Ferb Ride Again,0.3
976,Imagine: Makeup Artist,0.29
977,Glory of Heracles Read the review,0.29
978,Nicktoons: Battle for Volcano Island,0.29
979,Alvin and the Chipmunks: The Squeakquel,0.29
980,Zoo Tycoon 2 DS,0.29
981,TouchMaster: Connect,0.29
982,Imagine: Fashion Designer World Tour,0.29
983,John Deere: Harvest in the Heartland,0.29
984,Trace Memory Read the review,0.29
985,Mah Jong Quest: Expeditions,0.29
986,Learn with Pokémon: Typing Adventure,0.29
987,Feel the Magic XY/XX,0.29
988,Neopets Puzzle Adventure,0.29
989,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,0.29
990,Power Pro Kun Pocket 11,0.29
991,Sesame Street: Elmo's A-to-Zoo Adventure,0.29
992,Bratz: Super Babyz,0.28
993,Baby Pals,0.28
994,Jewel Quest Mysteries: Curse of the Emerald Tear,0.28
995,Harvest Moon DS Cute (US sales),0.28
996,Junior Brain Trainer 2,0.28
997,Assassin's Creed II: Discovery,0.28
998,All Star Cheer Squad,0.28
999,Bratz Ponyz,0.28
1000,Kung Zhu,0.28
1001,Cake Mania 2: Jill's Next Adventure!,0.28
1002,Surf's Up,0.28
1003,The Urbz: Sims In the City (US weekly sales),0.28
1004,Mega Man ZX,0.28
1005,Tom and Jerry Tales,0.28
1006,Shrek: Ogres & Dronkeys,0.28
1007,Yu-Gi-Oh! World Championship 2008,0.28
1008,Wappy Dog,0.28
1009,Puyo Puyo! 15th Anniversary,0.28
1010,Over the Hedge,0.28
1011,Hot Wheels: Track Attack,0.27
1012,Pinkalicious,0.27
1013,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,0.27
1014,iCarly 2: iJoin The Click!,0.27
1015,Pac-Pix,0.27
1016,Monopoly,0.27
1017,Beyblade: Metal Masters,0.27
1018,Ratatouille: Food Frenzy,0.27
1019,Sesame Street: Cookie's Counting Carnival,0.27
1020,Megamind: The Blue Defender,0.27
1021,Wipeout 2,0.27
1022,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,0.27
1023,Littlest Pet Shop: Beach Friends,0.27
1024,Boogie,0.27
1025,Assassin's Creed: Altair's Chronicles,0.27
1026,Reader Rabbit Kindergarten,0.27
1027,Suikoden Tierkreis Read the review,0.27
1028,Super Collapse! 3,0.27
1029,Need for Speed: Most Wanted,0.27
1030,Battle of Giants: Mutant Insects,0.27
1031,My Japanese Coach,0.27
1032,America's Test Kitchen: Let's Get Cooking,0.27
1033,Fish Tycoon,0.26
1034,Etrian Odyssey II: Heroes of Lagaard,0.26
1035,Love Plus,0.26
1036,Family Feud: 2010 Edition,0.26
1037,DS Bungaku Zenshuu,0.26
1038,Ace Attorney Investigations 2,0.26
1039,TouchMaster 3(Others sales),0.26
1040,Call of Duty: Modern Warfare 3: Defiance,0.26
1041,Babysitting Mania,0.26
1042,Metroid Prime Pinball,0.26
1043,Ben 10 Triple Pack,0.26
1044,The Penguins of Madagascar,0.26
1045,Resident Evil: Deadly Silence Read the review,0.26
1046,Bratz Ponyz 2,0.26
1047,Rayman DS,0.26
1048,Madden NFL 08,0.26
1049,Polarium,0.26
1050,Nancy Drew: The Mystery of the Clue Bender Society,0.26
1051,Pirates of the Caribbean: Dead Man's Chest,0.26
1052,Madden NFL 2005,0.26
1053,Smart Girl's Playhouse,0.25
1054,The Suite Life of Zack & Cody: Tipton Trouble,0.25
1055,Michael Jackson: The Experience,0.25
1056,Scrabble,0.25
1057,Beyblade: Metal Fusion,0.25
1058,Imagine: Ballet Star,0.25
1059,Animal Paradise,0.25
1060,My Virtual Tutor: Reading Adventure Kindergarten to First,0.25
1061,The Backyardigans,0.25
1062,Freshly-Picked: Tingle's Rosy Rupeeland Read the review,0.25
1063,Indiana Jones and the Staff of Kings,0.25
1064,Littlest Pet Shop: Country Friends,0.25
1065,Transformers: War for Cybertron -- Autobots,0.25
1066,Tales of Hearts,0.24
1067,That's So Raven: Psychic on the Scene,0.24
1068,Tongari Boushi to Oshare na Mahou Tsukai,0.24
1069,Percy Jackson and the Olympians: The Lightning Thief,0.24
1070,Disney Stitch Jam,0.24
1071,Imagine: Teacher Class Trip,0.24
1072,Paws & Claws: Pet Resort,0.24
1073,Cradle of Rome,0.24
1074,The Incredible Hulk,0.24
1075,Luminous Arc,0.24
1076,Juiced 2: Hot Import Nights,0.24
1077,Avalon Code Read the review,0.24
1078,Amazing Adventures: The Forgotten Ruins,0.24
1079,Shrek's Carnival Craze Party Games,0.24
1080,Loving Life with Hello Kitty & Friends,0.24
1081,Scrabble (Others sales),0.24
1082,Disney's A Christmas Carol,0.24
1083,Imagine: Zookeeper,0.24
1084,Are You Smarter than a 5th Grader? Game Time,0.24
1085,Naruto: Path of the Ninja 2,0.23
1086,Harry Potter and the Goblet of Fire,0.23
1087,Love Plus +,0.23
1088,Sands of Destruction,0.23
1089,Hotel for Dogs,0.23
1090,Jewels of the Tropical Lost Island,0.23
1091,Meteos,0.23
1092,Sherlock Holmes and the Mystery of Osborne House,0.23
1093,Shaun White Snowboarding,0.23
1094,Ultimate Band,0.23
1095,What's Cooking? Jamie Oliver,0.23
1096,Saka-Tsuku DS: Touch and Direct,0.23
1097,Lunar Knights,0.23
1098,Hot Wheels: Beat That!,0.23
1099,Naruto: Ninja Council 2 - European Edition,0.23
1100,New Carnival Games,0.23
1101,I Love Horses,0.23
1102,Tony Hawk's Proving Ground,0.23
1103,Need for Speed: Undercover,0.23
1104,Digimon World DS (JP sales),0.23
1105,Kung Fu Panda 2,0.22
1106,Last Window: The Secret of Cape West,0.22
1107,Petz Monkeyz House,0.22
1108,Cloudy With a Chance of Meatballs,0.22
1109,Discovery Kids: Dolphin Discovery,0.22
1110,Star Wars: The Force Unleashed II,0.22
1111,Petz Rescue: Endangered Paradise,0.22
1112,Age of Empires: The Age of Kings,0.22
1113,Luminous Arc 2,0.22
1114,Tony Hawk's Downhill Jam,0.22
1115,Naruto Shippuuden: Ninja Council 4,0.22
1116,Dragon Ball: Origins (JP & incomplete US sales),0.22
1117,Touch the Dead,0.22
1118,Marvel Super Hero Squad: The Infinity Gauntlet,0.22
1119,Ragnarok DS,0.22
1120,Tamagotchi no KiraKira Omisecchi,0.22
1121,Yu-Gi-Oh! GX: Spirit Caller (American Sales),0.22
1122,Imagine: Detective,0.22
1123,Hasbro Family Game Night,0.22
1124,KORG DS-10 Synthesizer,0.22
1125,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,0.22
1126,Hidden Mysteries: Buckingham Palace,0.22
1127,Yoshi Touch & Go (JP sales),0.22
1128,Pass the Pigs,0.22
1129,Harry Potter and the Deathly Hallows - Part 2,0.22
1130,Jewel Quest: Expeditions,0.22
1131,Dorabase DS: Dramatic Stadium,0.21
1132,Nintendo Presents: Crossword Collection,0.21
1133,The Magic School Bus: Oceans,0.21
1134,Madden NFL 07,0.21
1135,Where's Waldo? The Fantastic Journey,0.21
1136,Tony Hawk's American Sk8land,0.21
1137,Imagine: Boutique Owner,0.21
1138,The Chronicles of Narnia: Prince Caspian,0.21
1139,Age of Empires: Mythologies Read the review,0.21
1140,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,0.21
1141,Disney's Planes,0.21
1142,Blue Dragon Plus,0.21
1143,Super Robot Taisen K,0.21
1144,Tony Hawk's Motion,0.21
1145,Wacky Races: Crash & Dash,0.21
1146,Heisei Kyouiku linkai DS,0.21
1147,Discovery Kids: Pony Paradise,0.21
1148,Wedding Dash,0.21
1149,Sloane to MacHale no Nazo no Monogatari,0.2
1150,The Amazing Spider-Man (2012),0.2
1151,Need for Speed Carbon: Own the City,0.2
1152,Deal or No Deal: The Banker is Back!,0.2
1153,Dragon Ball Z: Harukanaru Densetsu,0.2
1154,Wizards of Waverly Place: Spellbound,0.2
1155,Infinite Space,0.2
1156,"Ni Hao, Kai-lan: New Year's Celebration",0.2
